word,frequency,percentage
constituted,192,0.018304873386525516
f.i.r,192,0.018304873386525516
gift,192,0.018304873386525516
attached,191,0.018209535504304028
known,191,0.018209535504304028
want,191,0.018209535504304028
kashmir,190,0.018114197622082544
consider,190,0.018114197622082544
adjudication,190,0.018114197622082544
acting,190,0.018114197622082544
cited,190,0.018114197622082544
minor,190,0.018114197622082544
responsible,190,0.018114197622082544
fida,190,0.018114197622082544
building,189,0.018018859739861056
karachi,189,0.018018859739861056
business,189,0.018018859739861056
failure,189,0.018018859739861056
terminated,189,0.018018859739861056
pointation,189,0.018018859739861056
custom,188,0.01792352185763957
serious,188,0.01792352185763957
mother,188,0.01792352185763957
selection,188,0.01792352185763957
republic,187,0.01782818397541808
separate,187,0.01782818397541808
book,187,0.01782818397541808
away,187,0.01782818397541808
